Title,Category,Bid Count,Highest Bid Amount(€),Description,URL
Walibi Holland tickets + 1 overnachting (8 p.),Bungalows,16,305,"Gil de longen uit je lijf in de vetste attracties van Walibi, zoals Eat My Dust in het nieuwe familiegebied Speed Zone – OFF ROAD, relax op het strand en pak een terrasje in Elburg... Het kan allemaal tijdens 2 dagen in een comfortabel huisje op Walibi Village, direct naast Walibi. Win met korting.",https://www.vakantieveilingen.be/veilingen/vakantieparken/bungalows/walibi-holland-walibi-village-8-personen-2-dagen/49685
Luxe loungeset met bijzettafel van Feel Furniture,Tuin en buiten,9,45,"Creëer een elegante en comfortabele buitenlounge met de Gamla luxe loungeset. Deze set combineert modern design met functionaliteit; ideaal voor lange zomeravonden of gezellige herfstdagen. Bied mee, win met korting en geniet avond na avond van jouw plekje in de tuin.",https://www.vakantieveilingen.be/veilingen/producten/tuin-en-buiten/luxe-loungeset-gamla-taupe-feel-furniture/62389
Michael Kors armband met zirkonia,Juwelen,6,6,"Deze sprankelende armband van Michael Kors heeft een graveerbare schijf onder een glinsterende pavé-munt met het iconische MK-logo. Tijdloze elegantie dus om cadeau te doen aan je geliefde of lekker aan jezelf. Want zeg nu zelf, iedereen verdient het om dagelijks te schitteren. Bied mee en win!",https://www.vakantieveilingen.be/veilingen/producten/juwelen/michael-kors-armband-met-zirkonia/62742
Camping aan het Trasimenomeer in Italië (6 p.),Campings en vakantieparken,14,170,"Op camping Punta Navaccia komt jouw Italiaanse droom tot leven. Start de dag met een duik in het meer, ontbijt met verse croissants, beleef pret bij de animatie en plons in het zwembad. En dan die prachtige omgeving vól bezienswaardige steden als Assisi en Perugia. Bied mee en win!",https://www.vakantieveilingen.be/veilingen/vakanties/campings-en-vakantieparken/punta-navaccia-camping-italie/43707
Loopband met compact ontwerp,Sport en gezondheid,25,45,"Bewegen terwijl je deelneemt aan een meeting of televisie kijkt, dát is pas multitasken. Pak deze compacte loopband erbij en loop of jog een aantal km in het comfort van je eigen huiskamer, terwijl je die werktraining volgt of je favoriete serie opzet. Bied mee en deel efficiënt je kostbare tijd in.",https://www.vakantieveilingen.be/veilingen/producten/sport-en-gezondheid/loopband-plat-model/49016
Walibi Holland tickets + 2 overnachtingen (4 p.),Bungalows,25,65,Voor de vetste attracties moet je in Walibi zijn. Voor het gezin is het nieuwe familiegebied Speed Zone – OFF ROAD te gek! Wil je ook suppen op het Veluwemeer en een terrasje pakken in Elburg? Geniet 3 dagen in Walibi Village en krijg 1 dag toegang tot het attractiepark. Win nu met korting.,https://www.vakantieveilingen.be/veilingen/vakantieparken/bungalows/walibi-holland-walibi-village-4-personen-3-dagen/14268
Dagje Londen voor 2 personen,citytrips,10,25,"Shoppen en cultuur snuiven in Londen? Terwijl jij wegdoezelt brengt de chauffeur jullie 's nachts per luxe touringcar naar de Britse hoofdstad. En als het verkeer het toelaat, krijgen jullie bij aankomst nog een kleine rondtour langs de highlights van de stad. Daarna zelf op ontdekking! Bied je mee?",https://www.vakantieveilingen.be/veilingen/vakanties/citytrips/slangen-reizen-stedentrip-londen/49634
Witte Fiat met geluid voor kinderen,Speelgoed en hobby,16,18,Een loopauto cadeau geven aan je mopje is altijd een goed idee. En al helemaal als ie er zo stoer uitziet als deze witte Fiat. Ook niet geheel onbelangrijk om te vermelden: de auto is uitgerust met een toeter en geluid. Je mini zal in de 7e hemel zijn... Dus: bied mee en win 'm met korting.,https://www.vakantieveilingen.be/veilingen/producten/speelgoed-en-hobby/witte-fiat-voor-kinderen/49441
Refurbished iPad 6 met 4G module - zilverkleurig (32 GB),Elektronica,25,116,"Deze refurbished iPad van Apple is geschikt voor zowel educatief als persoonlijk gebruik. Ideaal tijdens je studie, voor zakelijkelijke doeleinden of voor het hele gezin. Door de opslagruimte van 32 GB heb je altijd je essentiële apps, media en bestanden binnen handbereik. Ideaal! Bied mee en win.",https://www.vakantieveilingen.be/veilingen/producten/elektronica/refurbished-apple-ipad-a-grade-zilverkleurig/49243
Hangstoel van Feel Furniture (voor binnen en buiten),Tuin en buiten,17,100,"Zonnetje, boekje, drankje; jij zit er goed bij deze zomer met deze hangstoel! Kruip heerlijk weg in de zachte kussens en geniet van de zon. Is het minder weer? Geen probleem: je verplaatst 'm gemakkelijk naar binnen. Daar kun jij weer lekker verder genieten. Bied nu mee op de veiling en win.",https://www.vakantieveilingen.be/veilingen/producten/tuin-en-buiten/half-moon-hangstoel-feel-furniture/4957
Walibi Holland tickets + 2 overnachtingen (8 p.),Bungalows,25,109,"Gil de longen uit je lijf in de vetste attracties van Walibi, zoals Eat My Dust in het nieuwe familiegebied Speed Zone – OFF ROAD, relax op het strand en pak een terrasje in Elburg... Het kan allemaal tijdens 3 dagen in een comfortabel huisje op Walibi Village, direct naast Walibi. Win met korting.",https://www.vakantieveilingen.be/veilingen/vakantieparken/bungalows/walibi-holland-walibi-village-8-personen-3-dagen/49686
5 dagen Marrakech: verblijf in een typische riad (2 p.),citytrips,9,102,"Marrakech: de rode stad met prachtige paleizen en moskeeën, kleurrijke markten en oosterse geuren. Het is dé ideale plek voor een stedentrip. Jullie verblijven in een typische riad waar 's ochtends een traditioneel Marokkaans ontbijt wordt geserveerd. Mmm... Dit wordt een reis om nooit te vergeten.",https://www.vakantieveilingen.be/veilingen/vakanties/citytrips/stedentrip-marrakech-4-nachten-in-een-riad-2-personen/57265
Kledingstomer van Berlinger Haus,Huishouden,11,11,"Heb jij ook zo'n hekel aan strijken? Nou, dan ben je zeker niet de enige. Gelukkig kun je het jezelf tegenwoordig een stuk gemakkelijker maken door een kledingstomer te gebruiken in plaats van een strijkijzer. Bied daarom supersnel mee op dit stijlvolle exemplaar van Berlinger Haus. Handig!",https://www.vakantieveilingen.be/veilingen/producten/huishouden/kledingstomer-berlinger-haus-bh9550/47637
Tweedekans veiling: ASTRO A50 wireless headset + over ear station,Elektronica,15,87,"Tweedekans veilingen zijn goed werkende producten, maar met een schoonheidsfoutje. De ASTRO Gaming A50 wireless headset + basis station is geschikt voor pc én Mac biedt de akoestiek, ergonomie en duurzaamheid die professionele gamers verwachten. Bied nu mee en win met korting.",https://www.vakantieveilingen.be/veilingen/producten/elektronica/tweedekans-veiling-a50-wireless-headset-basis-station-over-ear-astro/62696
"4 dagen Costa Brava, Spanje incl. ontbijt + diner (2 p.)",Aan de kust,11,63,"Toe aan wat ontspanning? Kom 4 dagen genieten onder de Spaanse zon, aan de prachtige Costa Brava. Jullie verblijven in een hotel vlak bij het strand en centrum en daarnaast zijn ontbijt en diner alle dagen inbegrepen. Als dat geen topvakantie wordt... Win de veiling en boek snel met korting. Vamos!",https://www.vakantieveilingen.be/veilingen/hotels/aan-de-kust/costa-brava-spanje-hotel-halfpension/45663
"Zwart met gele skelter (95 x 66,5 x 57 cm)",Speelgoed en hobby,7,14,Met deze skelter van Max Kids kun je lekker rondcrossen over de stoep. Hij heeft maar liefst 2 versnellingen en verstelbare trappers. Hierdoor bepaal je zelf de ideale snelheid en controle. Geschikt voor kinderen vanaf 3 jaar.,https://www.vakantieveilingen.be/veilingen/producten/speelgoed-en-hobby/groen-met-gele-skelter-max-kids/5572
Michael Kors dameshorloge (MK8561),Horloges,6,13,"Fan van het luxe merk Michael Kors? Voeg dan dit elegante dameshorloge toe aan je collectie. Naast dat je 'm gemakkelijk kunt dragen met elke outfit, ben je ook altijd op de hoogte van de tijd. Zo kom je nooit meer te laat op je zakelijke afspraak of spannende date. Bied nu mee en win.",https://www.vakantieveilingen.be/veilingen/producten/horloges/michael-kors-dameshorloge-mk8561/48541
Prieel met zonnescherm,Tuin en buiten,8,85,"De zon in je tuin is altijd genieten, maar te veel van het goede is niks. Daarom biedt dit prieel met zonnescherm uitkomst. Je kunt er namelijk een fijn schaduwplekje mee creëren en 'm gemakkelijk weer open rollen als je weer klaar bent om zonnestralen te vangen. Bied mee en laat die zon maar komen!",https://www.vakantieveilingen.be/veilingen/producten/tuin-en-buiten/prieel-met-zonnescherm-intimo-garden/55395
"4 dagen halfpension in Malgrat de Mar, Spanje (2 p.)",Zonvakanties,15,76,"Boek nu alvast jouw minibreak naar de Costa Brava. In het voor- of najaar verblijf je in Hotel Reymar in Malgrat de Mar. Lekker eten, strand en ontspanning zijn dé ingrediënten van deze vakantie. Dagje stad? Barcelona bereik je in iets meer dan een uurtje met de trein. Win jouw vakantie met korting.",https://www.vakantieveilingen.be/veilingen/vakanties/zonvakanties/malgrat-de-mar-hotel-reymar/3186
Kampeerbungalow op een Oostappenpark (4 p.),Campings en vakantieparken,1,1,"Psst, al zomerplannen? Kom naar een Oostappen-park en verblijf in een kampeerbungalow. Je geniet hier van het campingleven, maar dan net met wat meer luxe. Voordeel: de parken waaruit je kunt kiezen liggen allemaal in een mooie omgeving. Bied mee, win en boek je vandaag nog je vakantie met korting.",https://www.vakantieveilingen.be/veilingen/vakanties/campings-en-vakantieparken/oostappen-nl-kampeerbungalow-4-of-5-dagen/43256
Lockhart Solid Burner BBQ met thermometer,Tuin en buiten,9,16,"Stuur de uitnodigingen alvast de deur uit: met deze barbecue in je tuin wordt het een zomeravond om nooit te vergeten. De BBQ staat op wielen, waardoor je 'm gemakkelijk verplaatst en met de ingebouwde flessenopener is dit er ongetwijfeld eentje naar jouw hart. Bied mee en grill erop los.",https://www.vakantieveilingen.be/veilingen/producten/tuin-en-buiten/buccan-lockhart-solid-burner-barbecue/511
"2-in-1 digitale airfryer (11,5 L)",Koken en tafelen,14,24,"Door de opvallende kleurencombinatie van zwart en rosé goud krijg je niet alleen een stijlvolle toevoeging aan je keuken maar is door het digitale bedieningspaneel ook nog is makkelijk in gebruik. Bovendien is de airfryer ook makkelijk schoon te maken, handig! Bied nu mee en win.",https://www.vakantieveilingen.be/veilingen/producten/koken-en-tafelen/digitale-airfryer-rosegoud/48860
Walibi Holland tickets + 1 overnachting (4 p.),Bungalows,19,33,Voor de vetste attracties moet je in Walibi zijn. Voor het gezin is het nieuwe familiegebied Speed Zone – OFF ROAD te gek! Wil je ook suppen op het Veluwemeer en een terrasje pakken in Elburg? Geniet 2 dagen in Walibi Village en krijg 1 dag toegang tot het attractiepark. Win nu met korting.,https://www.vakantieveilingen.be/veilingen/vakantieparken/bungalows/walibi-holland-walibi-village-4-personen-2-dagen/8471
Thermen Barendrecht: exclusief wellnessresort (NL - 2p.),Sauna en wellness,19,24,"Kom en geniet bij Thermen Barendrecht. Laat je onderdompelen in alle luxe, warm op in bijzondere sauna's en zwem in de fijnste baden. In dit veelzijdige wellnessresort beleef je een onvergetelijke dag. Bied je mee?",https://www.vakantieveilingen.be/veilingen/wellness/sauna-en-wellness/thermen-barendrecht/42542
Barbecue met ingebouwde thermometer,Tuin en buiten,5,33,"Deze compacte barbecue is ideaal als je niet zo veel ruimte in de tuin hebt. De deksel heeft een ingebouwde thermometer waardoor je altijd de perfecte temperatuur hebt voor roken, BBQ'en of grillen. Bied nu mee en win!",https://www.vakantieveilingen.be/veilingen/producten/tuin-en-buiten/houtskool-barbecue-met-ingebouwde-thermometer/49733
Tweedekans veiling: Kodak EKTAR H35N Camera Roze,Elektronica,12,26,Tweedekans veilingen zijn goed werkende producten met een schoonheidsfoutje. Ontdek de Kodak EKTAR H35N filmcamera in roze. Deze vernieuwde halfkleinbeeldcamera legt momenten vast in een charmante retrostijl met het gemak van moderne technologie. Bied vandaag nog mee!,https://www.vakantieveilingen.be/veilingen/producten/elektronica/tweedekans-veiling-kodak-ektar-h35n-camera-roze-kodak/62857
Herenhorloge van Tommy Hilfiger (zilver en rood),Horloges,2,6,"Een stijlvolle klok om je pols maakt je outfit in 1 klap af. Dit herenhorloge van Tommy Hilfiger is gemaakt van hoogwaardig roestvrij staal, waardoor je er nog jaren plezier van hebt. Oh, en wat dacht je van de stoere rode rand? Bied nu mee of baal later.",https://www.vakantieveilingen.be/veilingen/producten/horloges/horloge-heren-tommy-hilfiger-mk1791423/48511
"Robotstofzuiger met laadstation (0,6 L)",Huishouden,12,65,"Extra hulp in het huishouden is altijd welkom, toch? Bied daarom mee op deze robotstofzuiger. Het automatische apparaat is ideaal voor het verwijderen van kruimels, stof, haren en ander vuil. Dankzij het compacte formaat worden ook de plekjes onder de bank meegenomen. Bied nu mee en win!",https://www.vakantieveilingen.be/veilingen/producten/huishouden/robotstofzuiger-v6-laadstation/15788
Dameshorloge van AVA (Helsinki 005),Horloges,6,50,De kleuren goud en groen van dit horloge vormen samen een winnende combinatie. Als klap op de vuurpijl is het klokje ook nog eens versierd met fonkelende steentjes. Zo ben jij voortaan sowieso de ster op elke gelegenheid. Van etentjes en feestjes tot gewoon op je werk... Bied mee en win met korting.,https://www.vakantieveilingen.be/veilingen/producten/horloges/dameshorloge-ava-helsinki-005/45307
18-delige serviesset van VIBE (collectie: Annecy),Koken en tafelen,9,36,"Hoe bevredigend is het om je gasten hun voorgerecht, hoofdgerecht én dessert in matchend servies te serveren? Met deze amberkleurige set kun je met 6 personen in stijl tafelen. De aardekleur zorgt bovendien voor een spectaculaire presentatie van je vers gekookte eten. Bied mee en schuif aan!",https://www.vakantieveilingen.be/veilingen/producten/koken-en-tafelen/18-delige-serviesset-borden-en-schalen/45857
Laser afstandsmeter van Fachtools,Klussen,10,11,"Afstanden, oppervlakken en volumes meten? Pak dit handzame apparaatje erbij en de laser vertelt je nauwkeurig wat je wil weten. Dit maakt het renoveren of inrichten van je huis een stuk efficiënter. Met één druk op de knop weet je of die mooie bank in die lege hoek past. Handig! Bied mee en win.",https://www.vakantieveilingen.be/veilingen/producten/klussen/laser-afstandsmeter-fachtools/51260
18-delige bordenset van VIBE (collectie: Saint Tropez),Koken en tafelen,10,18,"Deze bordenset heeft een rustieke en authentieke uitstraling. Door het glazuurlaagje ontstaan er kleurverschillen in het blauw, waardoor elk bord uniek wordt. Mooi toch? Je krijgt 6 stuks van elk soort bord. Dit vraagt echt om een gezellig etentje!",https://www.vakantieveilingen.be/veilingen/producten/koken-en-tafelen/18-borden-vibe-saint-tropez-borden/15423
Soundbar Apex van Hyundai (80 W),Elektronica,15,30,"Geef jij binnenkort een huisfeestje? Dan wil je natuurlijk dat er niks aan te merken valt op de muziek. Met deze soundbar van Hyundai hoef je je daarover geen zorgen te maken. Het apparaat heeft een helder en vol geluid en is ook nog eens eenvoudig in gebruik. Dus: bieden, winnen én feesten maar!",https://www.vakantieveilingen.be/veilingen/producten/elektronica/soundbar-apex-hyundai/47648
3-pack polo's van Cappuccino Italia (maat L),Modeaccessoires,9,15,Met een polo zit je altijd goed. Dit klassieke kledingstuk is nét wat meer gekleed dan een t-shirt en geeft je outfit een vleugje stijl. De polo's van Cappuccino Italia zijn gemaakt van katoen en acryl en hebben een normale pasvorm. Het zachte katoen zorgt voor een heerlijk draagcomfort. Bied & win!,https://www.vakantieveilingen.be/veilingen/producten/modeaccessoires/plain-polo-combi-deal-l-cappuccino-italia/62733
Metalen tuinhaard zwart (30 x 30 x 100 cm),Tuin en buiten,6,14,Je tuin is pas echt af als er een sfeervolle haard in staat. Deze tuinhaard oogt modern dankzij het strakke ontwerp en zijn zwart metalen uiterlijk. Tip: maak een heerlijk vuurtje op een frisse avond en warm jezelf lekker op. Plaats jij het winnende bod? Heerlijke momentjes gegarandeerd!,https://www.vakantieveilingen.be/veilingen/producten/tuin-en-buiten/zwart-metalen-tuinhaard/9468
Kamado-tafelbarbecue van Buccan maat M (33ø grilloppervlakte),Tuin en buiten,7,57,"Zon op je bol, drankje in je hand en de BBQ aan... Zomerser wordt het niet. Geniet van eindeloze avonden buiten én bereid de lekkerste gerechten in een handomdraai met deze kamado-tafelbarbecue. Barbecueën wordt een koud kunstje. Bied nu mee voor een zomer vol gezelligheid!",https://www.vakantieveilingen.be/veilingen/producten/tuin-en-buiten/kamado-tafelbarbecue-buccan-sunbury-smokey-egg-table-grill/40816
Parkhotel Valkenburg****: 2 dagen incl. wellness (2 p.),In de natuur,13,38,"2 dagen in Parkhotel Valkenburg voelt als een echte minivakantie. Ontspan in de wellness van het 4*-hotel, ga cultuur snuiven in Maastricht en maak een heerlijke wandeling door het groene heuvellandschap. Zo kom je samen helemaal tot rust. Bied mee en win jouw wellnessverblijf nu met korting.",https://www.vakantieveilingen.be/veilingen/hotels/in-de-natuur/parkhotel-valkenburg/4326
Overnachting Van der Valk Brussels Airport België (2 p.),Hotels Belgie,9,29,Dit 4-sterrenhotel is de perfecte uitvalsbasis als je de volgende ochtend een vroege vlucht hebt vanaf luchthaven Brussel. Je verblijft in een Superior kamer met gratis wifi én minibar met frisdrank. Dankzij de shuttle service ben je binnen 10 minuten op het vliegveld. Bied mee en win met korting!,https://www.vakantieveilingen.be/veilingen/hotels/hotels-belgie/van-der-valk-brussel-superior-kamer/49665
Kamado-barbecue met onderstel van Buccan maat L (35ø grilloppervlakte),Tuin en buiten,12,226,De hele straat voorzien van een smakelijk maal? Laat dat maar aan de Sunbury Smokey Egg over. De barbecue is lekker groot van formaat en dus ook ideaal voor grote groepen. Daarnaast is ie met z'n 2 werkbladen en deksel met ingebouwde thermometer erg handig in gebruik. Win voor de buurt-BBQ!,https://www.vakantieveilingen.be/veilingen/producten/tuin-en-buiten/buccan-kamado-sunbury/521?l=78719585&p=167297
Kamado-barbecue met onderstel van Buccan maat L (35ø grilloppervlakte),Tuin en buiten,24,312,De hele straat voorzien van een smakelijk maal? Laat dat maar aan de Sunbury Smokey Egg over. De barbecue is lekker groot van formaat en dus ook ideaal voor grote groepen. Daarnaast is ie met z'n 2 werkbladen en deksel met ingebouwde thermometer erg handig in gebruik. Win voor de buurt-BBQ!,https://www.vakantieveilingen.be/veilingen/producten/tuin-en-buiten/buccan-kamado-sunbury/521
Babywieg inklapbaar incl. speelboog en klamboe,Baby en kind,1,10,Passen opa en oma geregeld op jouw kleintje? Dan is het belangrijk dat je lieveling ook daar fijn kan slapen. Dit wiegje met speelboog én klamboe is ideaal. Na het dutje klap je 'm namelijk zo weer in. Handig!,https://www.vakantieveilingen.be/veilingen/producten/baby-en-kind/babywieg-inklapbaar/34049
Verkoelende matras topper met Blue Cell-technologie (180 x 200 cm),Slapen,1,1,"Last van klamme, zweterige nachten? Dan is dit topdekmatras met Blue Cell-technologie echt iets voor jou. De topper heeft een verkoelende werking en voert warmte en vocht snel af. Zo houd jij altijd een aangename temperatuur tijdens de nacht. Bied nu mee, win en... Slaap lekker!",https://www.vakantieveilingen.be/veilingen/producten/slapen/verkoelend-topdekmatras-180-x-200-cm/48915?l=78721118&p=167265
Verkoelende matras topper met Blue Cell-technologie (180 x 200 cm),Slapen,12,30,"Last van klamme, zweterige nachten? Dan is dit topdekmatras met Blue Cell-technologie echt iets voor jou. De topper heeft een verkoelende werking en voert warmte en vocht snel af. Zo houd jij altijd een aangename temperatuur tijdens de nacht. Bied nu mee, win en... Slaap lekker!",https://www.vakantieveilingen.be/veilingen/producten/slapen/verkoelend-topdekmatras-180-x-200-cm/48915
Dagje Parijs: vervoer + stadstour voor 2 personen,citytrips,9,33,"Dit is het ideale uitje om kennis te maken met Parijs. Stap in de bus en terwijl je je ogen dichtdoet, brengt de chauffeur je naar de hoofdstad van Frankrijk. Daar volgt een stadstour en heb je alle tijd om de stad zelf te ontdekken. Klaar voor een stedentrip Parijs? Bied mee en win!",https://www.vakantieveilingen.be/veilingen/vakanties/citytrips/dagtocht-parijs/2190
Powerbank met draadloze QI-lader van V-TAC,Elektronica,8,14,"Deze compacte powerbank kan dankzij z'n capaciteit van 8.000 mAh maar liefst 2 keer jouw device opladen, totdat hij zelf een oplaadbeurt nodig heeft. Ook kun je met de praktische QI-lader je telefoon draadloos opladen en kun je 'm gebruiken als zaklamp. Handig! Bied je mee?",https://www.vakantieveilingen.be/veilingen/producten/elektronica/v-tac-vt-3509-powerbank-met-draadloze-qi-lader/62847
Multifunctionele wekker met licht en geluid,Elektronica,3,5,"Met deze vrolijke wekker begint elke dag goed. Wanneer je wakker wordt is je telefoon is volledig draadloos opgeladen zodat je de dag goed kunt beginnen. Bied snel mee en win deze bluetooth speaker, wake up light én draadloze oplader in 1 met korting.",https://www.vakantieveilingen.be/veilingen/producten/elektronica/bluetooth-speaker-led-mini-wake-up-light-draadloze-oplader-ibello/62791
Herenhorloge van Rotorcraft (Discover RC4801),Horloges,8,26,"Hey jij daar, avonturier. Dit horloge uit de Discover-collectie van Rotorcraft is jou op het lijf geschreven. De kleuren zilver, blauw en oranje vormen samen een bijzonder geheel. Mooi meegenomen: de klok heeft een stopwatch én datumaanduiding. Handig, toch? Bied mee en win!",https://www.vakantieveilingen.be/veilingen/producten/horloges/herenhorloge-rotorcraft-discover-rc4801/34032
"Rijstkoker van Berlinger Haus (1,8 L)",Koken en tafelen,8,12,"Rijst koken voor een grote groep is een makkie met deze mega rijstkoker. Of je nu een groot gezin hebt of graag kookt voor je vrienden; deze rijstkoker is een praktische keukenhulp. Zet 'm aan het werk, kook de rest van het diner en schep de gekookte rijst erbij op. Bied mee en win tijd!",https://www.vakantieveilingen.be/veilingen/producten/koken-en-tafelen/rijstkoker-voor-10-porties/46032
15-delige pannenset van Berlinger Haus,Koken en tafelen,25,56,"Koekenpannen, kookpannen en nog veel meer; je hebt altijd de juiste pan in huis met deze set. Je krijgt ze allemaal in Carbon en ze zijn gemaakt van gesmeed aluminium. Door het moderne design wordt koken een stuk leuker.",https://www.vakantieveilingen.be/veilingen/producten/koken-en-tafelen/pannenset-berlinger-haus-bh7173/20543
Kinderwagen van Mino Bambino 3-in-1 (keuze uit 5 kleuren),Baby en kind,21,100,"Kleintje op komst? Met deze 3-in-1 kinderwagen van Mino Bambino vink je gelijk een aantal noodzakelijke items van je uitzetlijst af. Je krijgt namelijk een autostoeltje, kinderwagen voor kindjes tot 22 kilo én accessoires als een luiertas en matrasje. Bied mee en win je favoriete kleur met korting!",https://www.vakantieveilingen.be/veilingen/producten/baby-en-kind/3-in-1-kinderwagen-mino-bambino-kleurkeuze/60213
Verfroller met vloeistofopslag van Fachtools,Klussen,9,9,"Toe aan een nieuw kleurtje of een frisse verflaag? Met deze praktische verfroller ben je zo klaar. Door de roller van 56 cm breed en handige vloeistofopslagpijp kun jij ongestoord je hele muur verven, zonder het verf constant bij te vullen. Bied mee en laat dat verf maar rollen!",https://www.vakantieveilingen.be/veilingen/producten/klussen/verfroller-van-fachtools-grote-oppervlakken/51641
Herenhorloge van Mauro Vinci (Blackhawk),Horloges,11,18,"Bij zo'n stoer en stijlvol type als jij hoort natuurlijk wel een bijpassende klok. Dit horloge van Mauro Vinci straalt 1 en al klasse uit. Ook niet geheel onbelangrijk: omdat ie zwart is, is ie geschikt voor elke gelegenheid én makkelijk te combineren. Dus, waar wacht je nog op? Meebieden en winnen!",https://www.vakantieveilingen.be/veilingen/producten/horloges/herenhorloge-mauro-vinci-blackhawk/44037
